timestamps,soc,price,action_normalized,battery_power_kw,grid_power_kw,reward,total_cost_cumulative,household_consumption_kw,grid_cost_term,peak_penalty_term,battery_cost_term,arbitrage_bonus_term,soc_action_penalty_term,current_solar_production_kw
2024-04-11 01:00:00+02:00,0.9,-3.548,-0.04013281315565109,-0.0,4.879,0.31439168443489063,3312.607939839611,4.879,4.327673,0.0,-0.0,0.0,-4.013281315565109,0.0
2024-04-11 01:15:00+02:00,0.9,-3.548,-0.0032726642675697803,-0.0,4.876,3.997745573243022,3308.282927839611,4.876,4.325012,0.0,-0.0,0.0,-0.32726642675697803,0.0
2024-04-11 01:30:00+02:00,0.89710194,-3.545,0.02422802895307541,-0.2422802895307541,4.633719710469246,2.6720797474975884,3304.1762937462076,4.876,4.106634093403369,0.0,-1.4345543459057808,0.0,0.0,0.0
2024-04-11 01:45:00+02:00,0.89211816,-3.542,0.04166407138109207,-0.4166407138109207,4.45935928618908,1.4818110529873465,3300.2275310982873,4.876,3.9487626479204296,0.0,-2.466951594933083,0.0,0.0,0.0
2024-04-11 02:00:00+02:00,0.8846884,-3.539,0.06211286783218384,-0.6211286783218384,4.254871321678162,0.08676180652807863,3296.4630336964324,4.876,3.764497401854754,0.0,-3.6777355953266753,0.0,0.0,0.0
2024-04-11 02:15:00+02:00,0.88144267,-3.536,0.02713434398174286,-0.2713434398174286,4.600656560182571,2.4603416108087233,3292.396053297231,4.872,4.066980399201393,0.0,-1.6066387883926696,0.0,0.0,0.0
2024-04-11 02:30:00+02:00,0.8807642,-3.51875,0.005672057159245014,-0.05672057159245014,4.81527942840755,3.900095632485127,3288.1601121750537,4.872,4.235941122177266,0.0,-0.335845489692139,0.0,0.0,0.0
2024-04-11 02:45:00+02:00,0.87991315,-3.5015,0.007114828564226627,-0.07114828564226627,4.800851714357734,3.7812728255214294,3283.9575666055975,4.872,4.202545569455901,0.0,-0.42127274393447134,0.0,0.0,0.0
2024-04-11 03:00:00+02:00,0.8783777,-3.4842500000000003,0.012836609967052937,-0.12836609967052937,4.7436339003294705,3.371939172046026,3279.825565001292,4.872,4.1320016043057395,0.0,-0.7600624322597134,0.0,0.0,0.0
2024-04-11 03:15:00+02:00,0.8790982,-3.467,-0.013348408043384552,0.06674204021692276,4.953742040216922,5.605554141371906,3275.531909087934,4.887,4.293655913358018,0.0,-0.356652777409181,1.668551005423069,0.0,0.0
2024-04-11 03:30:00+02:00,0.87788206,-3.204,0.010166620835661888,-0.10166620835661888,4.785333791643381,3.2310813965737366,3271.6988567208273,4.887,3.8330523671063483,0.0,-0.6019709705326118,0.0,0.0,0.0
2024-04-11 03:45:00+02:00,0.87185365,-2.941,0.050397519022226334,-0.5039751902222633,4.383024809777736,0.23855536507304764,3268.4762377294383,4.887,3.2226189913890804,0.0,-2.9840636263160327,0.0,0.0,0.0
2024-04-11 04:00:00+02:00,0.86713326,-2.678,0.03946247696876526,-0.3946247696876526,4.492375230312347,0.6710511856488046,3265.468592512744,4.887,3.007645216694116,0.0,-2.3365940310453115,0.0,0.0,0.0
2024-04-11 04:15:00+02:00,0.8683814,-2.415,-0.023123519495129585,0.11561759747564793,5.051617597475648,5.322522524856627,3262.4186783882683,4.936,3.0499141244759223,0.0,-0.6178315365104936,2.890439936891198,0.0,0.0
2024-04-11 04:30:00+02:00,0.8690052,-2.1205,-0.011556832119822502,0.05778416059911251,4.9937841605991125,3.7831497349139096,3259.7713485601307,4.936,2.6473298281376043,0.0,-0.3087841082015075,1.4446040149778128,0.0,0.0
2024-04-11 04:45:00+02:00,0.8682663,-1.826,0.006177266128361225,-0.06177266128361225,4.874227338716388,1.8593256014710637,3257.5462637800065,4.936,2.225084780124031,0.0,-0.36575917865296725,0.0,0.0,0.0
2024-04-11 05:00:00+02:00,0.85494995,-1.5315,0.11132462322711945,-1.1132462322711945,3.8227537677288055,-5.127952684365538,3256.0826269311874,4.936,1.4636368488191664,0.0,-6.591589533184704,0.0,0.0,0.0
2024-04-11 05:15:00+02:00,0.84344095,-1.237,0.09621533751487732,-0.9621533751487732,4.163846624851227,-4.409291205171967,3254.7949573624524,5.126,1.2876695687352422,0.0,-5.696960773907209,0.0,0.0,0.0
2024-04-11 05:30:00+02:00,0.82287765,-0.17375000000000007,0.17190928757190704,-1.7190928757190704,3.40690712428093,-10.03085186749407,3254.646969834241,5.126,0.14798752821095296,0.0,-10.178839395705022,0.0,0.0,0.0
2024-04-11 05:45:00+02:00,0.8060108,0.8895,0.14100675284862518,-1.4100675284862518,3.7159324715137485,-9.175414533600414,3255.473300317594,5.126,-0.8263304833528697,0.0,-8.349084050247544,0.0,0.0,0.0
2024-04-11 06:00:00+02:00,0.79653275,1.95275,0.07923660427331924,-0.7923660427331924,4.333633957266808,-6.807266970012355,3257.588926245107,5.126,-2.11562592751319,0.0,-4.691641042499166,0.0,0.0,0.0
2024-04-11 06:15:00+02:00,0.7877842,3.016,0.07313767820596695,-0.7313767820596695,4.354299617440331,-7.613662331640159,3260.872068156657,5.221,-3.28314191155001,0.0,-4.330520420090148,0.0,0.0,0.1353236005
2024-04-11 06:30:00+02:00,0.77973783,5.89375,0.06726787984371185,-0.6726787984371185,4.412997601062882,-10.485242722509554,3267.374344309473,5.221,-6.50227615281609,0.0,-3.982966569693465,0.0,0.0,0.1353236005
2024-04-11 06:45:00+02:00,0.77289647,8.7715,0.05719389393925667,-0.5719389393925667,4.513737460107434,-13.284542595025918,3277.272406342306,5.221,-9.898062032833089,0.0,-3.386480562192829,0.0,0.0,0.1353236005
2024-04-11 07:00:00+02:00,0.76646084,11.64925,0.05380143225193024,-0.5380143225193024,4.547662076980698,-16.42982423274693,3290.516619454873,5.221,-13.24421311256685,0.0,-3.18561112018008,0.0,0.0,0.1353236005
2024-04-11 07:15:00+02:00,0.76287115,14.527,0.030010202899575233,-0.30010202899575233,1.2151562535042477,-6.190063632191532,3294.929763178537,2.431,-4.413143723664051,0.0,-1.7769199085274812,0.0,0.0,0.9157417175
2024-04-11 07:30:00+02:00,0.766187,18.034499999999998,-0.06143151968717575,0.30715759843587875,1.8224158809358788,-9.857963217826253,3303.1463529797215,2.431,-8.216589801184526,0.0,-1.641373416641727,0.0,0.0,0.9157417175
2024-04-11 07:45:00+02:00,0.77078485,21.541999999999998,-0.08518028259277344,0.4259014129638672,1.9411596954638672,-12.73002621544632,3313.600468519642,2.431,-10.454115539920656,0.0,-2.2759106755256653,0.0,0.0,0.9157417175
2024-04-11 08:00:00+02:00,0.7755615,25.0495,-0.088494673371315,0.442473366856575,1.957731649356575,-14.624516791779204,3325.8605182572815,2.431,-12.260049737639381,0.0,-2.3644670541398227,0.0,0.0,0.9157417175
2024-04-11 08:15:00+02:00,0.78325653,28.557,-0.1425604671239853,0.7128023356199265,-1.0914049643800734,3.982775410981457,3318.068705365331,0.299,7.791812891950439,0.0,-3.809037480968982,0.0,0.0,2.1032073
2024-04-11 08:30:00+02:00,0.79429835,28.40675,-0.2045634388923645,1.0228171944618225,-0.7813901055381773,0.08350896221879012,3312.519517020207,0.299,5.549188345124154,0.0,-5.465679382905364,0.0,0.0,2.1032073
2024-04-11 08:45:00+02:00,0.80552995,28.2565,-0.20808090269565582,1.0404045134782791,-0.7638027865217207,-0.16406325956180368,3307.123918660869,0.299,5.39559835933775,0.0,-5.559661618899554,0.0,0.0,2.1032073
2024-04-11 09:00:00+02:00,0.81646544,28.10625,-0.2025938481092453,1.0129692405462265,-0.7912380594537733,0.1466292979617565,3301.5642349837385,0.299,5.559683677130654,0.0,-5.413054379168898,0.0,0.0,2.1032073
2024-04-11 09:15:00+02:00,0.8291684,27.956,-0.23533885180950165,1.1766942590475082,-0.6550876909524916,-1.7095520747181583,3296.9858271116714,0.318,4.578407872066964,0.0,-6.287959946785122,0.0,0.0,2.14978195
2024-04-11 09:30:00+02:00,0.8395476,23.04725,-0.19228829443454742,0.9614414721727371,-0.8703404778272628,-0.12296422252196937,3291.9710884672704,0.318,5.014738644401095,0.0,-5.137702866923064,0.0,0.0,2.14978195
2024-04-11 09:45:00+02:00,0.85007364,18.1385,-0.19500888884067535,0.9750444442033768,-0.8567375057966231,-1.3254104364887827,3288.0861051550473,0.318,3.884983312223012,0.0,-5.210393748711795,0.0,0.0,2.14978195
2024-04-11 10:00:00+02:00,0.86144286,13.229750000000001,-0.21062980592250824,1.0531490296125412,-0.7786329203874587,-3.0524854073680214,3285.510825435423,0.318,2.5752797196239956,0.0,-5.627765126992017,0.0,0.0,2.14978195
2024-04-11 10:15:00+02:00,0.87301266,8.321,-0.21434642374515533,1.0717321187257767,-1.3842952062742233,-2.8473884065889163,3282.631145332571,0.274,2.8796801028519527,0.0,-5.727068509440869,0.0,0.0,2.730027325
2024-04-11 10:30:00+02:00,0.885424,6.483499999999999,-0.2299361526966095,1.1496807634830475,-1.3063465615169525,-4.026182096963745,3280.513720849672,0.274,2.11742448289879,0.0,-6.143606579862535,0.0,0.0,2.730027325
2024-04-11 10:45:00+02:00,0.89741623,4.646,-0.22217148542404175,1.1108574271202087,-1.3451698978797912,23.39770613821898,3278.951306013285,0.274,1.5624148363873775,0.0,-5.9361443761736155,27.77143567800522,0.0,2.730027325
2024-04-11 11:00:00+02:00,0.9,2.8085000000000004,-0.1556176245212555,0.23933915096306105,-2.216688174036939,6.260902370313355,3277.394913829089,0.274,1.556392184195686,0.0,-1.2789685879588575,5.983478774076526,0.0,2.730027325
2024-04-11 11:15:00+02:00,0.9,0.971,-0.1441502422094345,-0.0,-3.075475,-13.66845266469345,3276.6483422728393,0.0,0.7465715562499999,0.0,-0.0,0.0,-14.415024220943451,3.075475
2024-04-11 11:30:00+02:00,0.9,0.79475,-0.14795061945915222,-0.0,-3.075475,-14.184003506852722,3276.0372838337767,0.0,0.6110584390624999,0.0,-0.0,0.0,-14.795061945915222,3.075475
2024-04-11 11:45:00+02:00,0.9,0.6185,-0.21588003635406494,-0.0,-3.075475,-21.112458313531494,3275.5617385119017,0.0,0.47554532187500004,0.0,-0.0,0.0,-21.588003635406494,3.075475
2024-04-11 12:00:00+02:00,0.9,0.44225000000000003,-0.19861312210559845,-0.0,-3.075475,-19.521280005872345,3275.2217063072144,0.0,0.3400322046875,0.0,-0.0,0.0,-19.861312210559845,3.075475
2024-04-11 12:15:00+02:00,0.9,0.266,-0.18065179884433746,-0.0,-2.8445014000000004,-17.876020541333745,3275.0325469641143,0.006,0.18915934310000004,0.0,-0.0,0.0,-18.065179884433746,2.8505014
2024-04-11 12:30:00+02:00,0.9,0.2745,-0.18349087238311768,-0.0,-2.8445014000000004,-18.153883329736768,3274.8373430555393,0.006,0.19520390857500006,0.0,-0.0,0.0,-18.349087238311768,2.8505014
